line,stanza,lyric
28,7,Hanya cantik tapi tidak menarik
29,7,Aku memang beda beda beda
30,7,Jangan nilai aku dengan standarmu
31,7,Ku sangat suka aku yang sekarang
32,8,"Dont care what people say, I know me sbenarnya"
33,8,I am talking to my self : angkat trus kepalamu
34,8,Jangan takut Raih mimpimu
35,8,Just keep on dreaming wo
36,9,"Keep your chin up, we got your back"
37,9,"Keep your head up, Just keep on dreaming"
38,9,"Keep your chin up, we got your back"
39,9,"Keep your head up, Just keep on dreaming (Everybody)"
40,10,Hanya cantik tapi tidak menarik (Ha~~ Ha~)
41,10,Aku memang beda beda beda~ (beda~)
42,10,Jangan nilai aku dengan standarmu
43,10,Ku sangat suka aku yang sekarang~
44,11,I love my self
45,11,Ku memang beda beda yeah
46,11,I love my self
47,11,Ku memang beda beda yeah
48,11,Ku memang istimewa yeah
1,1,People look at me and they tell me
2,1,"Thinking they got me figured out all at one glance, yeah"
3,1,So what? Don’t give a damn. I’m sorry 
4,1,I don’t care don’t care really don’t care because
5,2,I’m not out here all day looking for love
6,2,So many more things out there in the world
7,2,"Well, for a while I’ve been told, someday we’ll have to grow old"
8,2,I’m sorry sorry but I don’t wanna grow up
9,3,Got so much more than you plain pretty faced girls
10,3,"No, I’m not like the others others others"
11,3,Don’t wanna be measured by any standards 
12,3,I love myself I’m proud of my own colors 
13,4,I love myself 
14,4,Not like the others others yeah
15,4,I love myself 
16,4,Not like the others others yeah
17,4,Different from all the others yeah
18,5,"Bad, bad, I’m sorry I’m bad"
19,5,I’m just the way I am
20,5,"Stop talking, bothering, wasting my time"
21,5,Too busy doing what my heart desires
22,5,"My life, I choose the way I live it, none of your business"
23,5,I’m special don’t you know that
24,6,Don’t even care if no one here agrees  
25,6,I like my style so won’t you let me be 
26,6,"Well, for a while they’ve been saying, no, they’re not okay with my ways"
27,6,I’m sorry sorry but that’ll never change me 
28,7,Got so much more than you plain pretty faced girls
29,7,"No, I’m not like the others others others"
30,7,Don’t wanna be measured by any standards 
31,7,I love myself I’m proud of my own colors 
32,8,Don’t care what people say ‘cause I know what I like 
33,8,"I’m talking to myself keep your head up always, you "
34,8,"Focus on your goals, don’t you ever give up"
35,8,Just keep on dreaming woah
36,9,"Keep your chin up, we got your back"
37,9,"Keep your head up, just keep on dreaming"
38,9,"Keep your chin up, we got your back"
39,9,"Keep your head up, just keep on dreaming"
40,10,Got so much more than you plain pretty faced girls
41,10,"No, I’m not like the others others others"
42,10,Don’t wanna be measured by any standards 
43,10,I love myself I’m proud of my own colors 
44,11,I love myself 
45,11,Not like the others others yeah
46,11,I love myself
47,11,Not like the others others yeah
48,11,Different from all the others yeah
1,1,people look at me and they tell me
2,1,dimata mereka ku terlihat berantakan
3,1,So what? masa bodo!
4,1,"i'm sorry i don't care don't care really don't care, because"
5,2,ku tak peduli urusan cinta
6,2,lihat keluar dan senang-senang
7,2,언니 mengatakan diriku belum dewasa.
8,2,"I’m sorry, sorry ku tak ingin dewasa"
9,3,hanya cantik tapi kurang menarik
10,3,diriku berbeda beda beda
11,3,jangan samakan dengan yang lainnya
12,3,jadi diri sendiri aku suka
13,4,i love my self
14,4,diriku beda beda yeah
15,4,i love my self
16,4,diriku beda beda yeah
17,4,kau dan aku berbeda yeah
18,5,bad bad i'm sorry i'm bad
19,5,i'm just the way i am
20,5,ku sibuk lakukan yang ku mau
21,5,dan tak punya waktu untuk dirimu
22,5,My life ku kan urus sendiri jangan ganggu!
23,5,karena ku istimewa
24,6,ku tak peduli yang orang katakan
25,6,yeah style diriku tunjukkan warna
26,6,언니 mengatakan bahwa diriku berani
27,6,i'm sorry sorry ku tak ingin berubah!
28,7,hanya cantik tapi kurang menarik
29,7,diriku berbeda beda beda
30,7,jangan samakan dengan yang lainnya
31,7,jadi diri sendiri aku suka
32,8,Don't care what people say ku kenal diriku
33,8,i'm talking to my self tegakan kepalamu
34,8,go raise your head and follow your dreams
35,8,just keep on dreamin'
36,9,"Keep your chin up, we got your back hey"
37,9,"Keep your head up, just keep on dreaming yeah"
38,9,"Keep your chin up, we got your back"
39,9,"Keep your head up, just keep on dreaming"
40,10,hanya cantik tapi kurang menarik
41,10,diriku berbeda beda beda
42,10,jangan samakan dengan yang lainnya
43,10,jadi diri sendiri aku suka
44,11,i love my self
45,11,diriku beda beda yeah
46,11,i love my self
47,11,diriku beda beda yeah
48,11,kau dan aku berbeda yeah
1,1,"смотрят на меня, говорят, что я"
2,1,"вы говорите ""никудышная"" не так ли?"
3,1,"и что? мне все равно, мне все "
4,1,"равно плевать, мне безразлично да-да-да"
5,2,и мне не нужно думать о любви
6,2,ведь дел так много у меня других 
7,2,"все говорили, что мне пора уже повзрослеть"
8,2,"мне жаль, мне жаль но взрослой я не буду"
9,3,ты не поймешь меня я другая
10,3,и не похожа ни на кого совсем
11,3,отставь свои стандарты подальше
12,3,"мне нравится собой быть такой, как есть"
13,4,люблю себя
14,4,"такой, как есть как есть есть"
15,4,люблю себя
16,4,"такой, как есть как есть есть"
17,4,"такой, как есть как есть есть"
18,5,"скажешь ""плохая"" в ответ "
19,5,прости такая как есть
20,5,что бы ни думал сейчас обо мне
21,5,все это только в твоей голове
22,5,плевать как захочу эту жизнь проживу мне плевать
23,5,ведь я совсем другая
24,6,и мне не нужно думать о любви
25,6,ведь дел так много у меня других
26,6,"все говорили, что мне  пора уже повзрослеть "
27,6,"мне жаль, мне жаль но взрослой я не буду "
28,7,ты не поймешь меня я другая
29,7,и не похожа ни на кого совсем
30,7,отставь свои стандарты подальше
31,7,"мне нравится собой быть такой, как есть"
32,8,"что говорят неважно, я знаю, кто я"
